Frame ID,Media Owner,Format,Address,Town,Postcode,Latitude,Longitude,Status
2000215790,Alight Media,D48,"88 Gelderd Road, Leeds,",Batley,WF17 9QB,53.7355397,-1.65713746,Live
2000215791,Alight Media,D48,"265 Oldham Road, Failsworth",Failsworth,M35 0AS,53.50797789,-2.16464455,Live
2000215864,Alight Media,D48,"Stone Road, Hanford, Inbound",Stoke On Trent,ST4 8NS,52.98097556,-2.19959738,Live
2000215865,Alight Media,D48,"Stone Road, Hanford, Outbound",Stoke On Trent,ST4 8NS,52.9810317,-2.19958367,Live
2000219252,Alight Media,D48,"31-33 Easterhouse Rd, Glasgow",Baillieston,G69 6BH,55.86077977,-4.10797489,Live
2000222258,Alight Media,D48,Adj Rly Bridge Wooton Bassett Road,Swindon,SN5 8WG,51.55493038,-1.80809008,Live
2000243337,Alight Media,D48,"Britannia Works, Folds Road, Inbound",Bolton,BL1 2SE,53.58246725,-2.42345215,Live
2000243339,Alight Media,D48,"Britannia Works, Folds Road, Outbound",Bolton,BL1 2SE,53.58247175,-2.42344864,Live
2000243346,Alight Media,D48,"Bournemouth Road, Chandler's Ford, Inbound",Eastleigh,SO53 3DB,50.98152542,-1.38420956,Live
2000243347,Alight Media,D48,"Bournemouth Road, Chandler's Ford, Outbound",Eastleigh,SO53 3DB,50.98149638,-1.38424859,Live
2000243448,Alight Media,D48,"Rochdale Road East, Heywood",Heywood,OL10 4DX,53.59325422,-2.21065403,Live
2000243772,Alight Media,D48,"Thurmaston Lane, Leicester",Leicester,LE4 9JD,52.66218659,-1.08781497,Live
2000256139,Alight Media,D48,"Aeroplas Great Bridge, Tipton,",Dudley,DY4 7AB,52.53119537,-2.03566992,Live
2000256152,Alight Media,D48,"3 Cardiff Road, Luton",Luton,LU1 1PP,51.87956492,-0.4219244,Live
2000256166,Alight Media,D48,"1 The Broadway, Northolt Road",Harrow,HA2 0DL,51.56941362,-0.3471687,Live
2000256307,Alight Media,D48,"3 Ratcliffe Road, Loughborough",Loughborough,LE11 1LF,52.77935385,-1.20168695,Live
2000256324,Alight Media,D48,"Soho Hill, Birmingham",Birmingham,B19 1AY,52.49853812,-1.91870829,Live
2000256342,Alight Media,D48,"Shipley Bowling Club, Bradford Road",Shipley,BD18 3DE,53.82775742,-1.78033098,Live
2000256394,Alight Media,D48,130 Upwell Street,Sheffield,S4 8AJ,53.4058602,-1.43390001,Live
2000256557,Alight Media,D48,"Shipley Airedale Road, Bradford",Bradford,BD1 5HZ,53.79550149,-1.74340162,Live
2000256572,Alight Media,D48,"207 Halliwell Road,",Bolton,BL1 3QJ,53.59174233,-2.4360509,Live
2000256737,Alight Media,D48,Land on the north west of Old Wareham Road,Poole,BH12 4QS,50.74114049,-1.95356296,Live
2000256748,Alight Media,D48,"Humberstone Road, Leicester",Leicester,LE5 3AQ,52.64005952,-1.1153689,Live
2000257034,Alight Media,D48,"London Road, Carmyle",Glasgow North,G32 8YQ,55.83566844,-4.16333082,Live
2000257035,Alight Media,D48,"London Road, Carmyle - Contraflow",Glasgow North,G32 8YQ,55.83566693,-4.16336033,Live
2000257183,Alight Media,D48,"436 Carmarthen Road, Swansea",Swansea,SA5 8LN,51.63559624,-3.95828773,Live
2000259538,Alight Media,D48,Heartlands Parkway adj Railway Bridge,Birmingham,B7 5RQ,52.49948469,-1.85888361,Live
2000259539,Alight Media,D48,"Meridian Way, London",Edmonton,N18 3AF,51.61314546,-0.04760575,Live
2000259557,Alight Media,D48,"Wynsors Shoes, King Cross Road",Halifax,HX1 2SH,53.72068282,-1.86774956,Live
2000259558,Alight Media,D48,Dainton Self Storage,Newport (Newport),NP20 2RX,51.57042416,-2.99857405,Live
2000259559,Alight Media,D48,"Hartlepool RFC, Easington Road",Hartlepool,TS24 9BA,54.70508429,-1.23403527,Live
2000259560,Alight Media,D48,"200 Ringway, Preston,",Preston,PR1 2ER,53.76078357,-2.7022166,Live
2000259561,Alight Media,D48,70 Prospect Road,Ossett,WF5 9HL,53.68135203,-1.57857741,Live
2000259562,Alight Media,D48,"18a Manchester St, Heywood",Heywood,OL10 1DL,53.59224579,-2.21509883,Live
2000259563,Alight Media,D48,3 High St,Heanor,DE75 7EX,53.01461674,-1.35776184,Live
2000259564,Alight Media,D48,"Britannia Tyres, Derby Road, Hinckley",Hinckley,LE10 1QF,52.54427987,-1.36781187,Live
2000259565,Alight Media,D48,"Filton College, Gloucester Road",Bristol,BS34 7AT,51.51433465,-2.57263005,Live
2000259566,Alight Media,D48,Bloxwich Wok,Walsall,WS3 2DQ,52.6132536,-2.00382312,Live
2000259567,Alight Media,D48,102 Neasham Road,Darlington,DL1 4AQ,54.51938008,-1.54300276,Live
2000259568,Alight Media,D48,"210 Strathmartine Road,",Dundee,DD3 8DE,56.47731378,-2.9834039,Live
2000259569,Alight Media,D48,24 Chester Road,Ellesmere Port,CH65 6RU,53.27324544,-2.91049228,Live
2000259570,Alight Media,D48,Land at: Pentagon Island,Derby,DE21 6EN,52.92410262,-1.46082367,Live
2000259571,Alight Media,D48,1 Smithfield Rd,Wrexham,LL13 8EN,53.04483865,-2.98655653,Live
2000259572,Alight Media,D48,"Dartmouth Middleway, Birmingham,",Birmingham,B6 4BS,52.490923,-1.8886292,Live
2000259573,Alight Media,D48,Ridings Park,Cannock,WS11 7FJ,52.69847746,-2.00950484,Live
2000259574,Alight Media,D48,Newbridge Ind Est,Blackwood Newbridge,NP12 2XF,51.65931117,-3.17598123,Live
2000259575,Alight Media,D48,"Corby St, Dom Valley House Car Park",Sheffield,S4 7UQ,53.394127,-1.4461357,Live
2000259576,Alight Media,D48,Buzz Centenary Way,Burnley,BB11 2EJ,53.788788,-2.2381739,Live
2000259577,Alight Media,D48,HSS Hire 66-70 Cauldwell Street,Bedford,MK42 9AB,52.13107884,-0.47027128,Live
2000259578,Alight Media,D48,"Keighley Cricket Club, Hard Ings Road",Keighley,BD21 3EX,53.87543049,-1.90539159,Live
2000259579,Alight Media,D48,"Dainton Self Storage, St Austell",St Austell,PL25 3RF,50.34408314,-4.73910283,Live
2000259580,Alight Media,D48,23-25 Cromer Road,Norwich,NR6 6NB,52.65770866,1.27645282,Live
2000259581,Alight Media,D48,"Keighley Cricket Club, Hard Ings Road_2",Keighley,BD21 3EX,53.87520779,-1.90474011,Live
2000259582,Alight Media,D48,"Dainton Self Storage, St Austell_2",St Austell,PL25 3RF,50.34393357,-4.73869158,Live
2000259583,Alight Media,D48,23-25 Cromer Road_2,Norwich,NR6 6NB,52.65760649,1.27650378,Live
2000268478,Alight Media,D48,"Ash Street, Dundee",Dundee,DD1 5RG,56.46371312,-2.98526518,Live
2000268479,Alight Media,D48,"62-68 (evens), Carmarthen Road",Swansea,SA1 1HS,51.63093439,-3.94428699,Live
2000268480,Alight Media,D48,"3 Main Street, Panel 1",Barrhead,G78 1RE,55.79893599,-4.39770978,Live
2000268481,Alight Media,D48,"3 Main Street, Panel 2",Barrhead,G78 1RE,55.79900987,-4.39743083,Live
2000268484,Alight Media,D48,55 Halifax Rd,Dewsbury,WF13 4AS,53.70647218,-1.65384533,Live
2000268851,Alight Media,D48,491 Hagley Road,Warley,B66 4AX,52.47278127,-1.96731729,Live
2000268852,Alight Media,D48,45 - 51 Nantwich Road,Crewe,CW2 6AW,53.08922016,-2.4385699,Live
2000269023,Alight Media,D48,"Hick Lane, Batley",Batley,WF17 5LZ,53.71227803,-1.62705511,Live
2000269291,Alight Media,D48,"219 and 221 Northdown Road, Cliftonville",Margate,CT9 2PF,51.38722552,1.40044539,Live
2000269965,Alight Media,D48,Pinchbeck Road (Panel 1),Spalding,PE11 1QL,52.79472215,-0.15188178,Live
2000269966,Alight Media,D48,Pinchbeck Road ( Panel 2 ),Spalding,PE11 1QL,52.79468782,-0.15187836,Live
2000270009,Alight Media,D48,Land on the south east side of Sturry Road,Canterbury,CT1 1DT,51.29052932,1.10065743,Live
2000270082,Alight Media,D48,"AB Centre, Cardiff Road (1)",Barry,CF63 2NW,51.41273119,-3.23692573,Live
2000270083,Alight Media,D48,"AB Centre, Cardiff Road (2)",Barry,CF63 2NW,51.41272851,-3.23693244,Live
2000270088,Alight Media,D48,"Railway Social Club, Wakefield Road",Bradford,BD4 7PE,53.78855614,-1.74253313,Live
2000270089,Alight Media,D48,"Heckmondwike Tavern, High St. Heckmondwike",Heckmondwike,WF16 0AR,53.70735892,-1.67140754,Live
2000270090,Alight Media,D48,746 and 748 City Road,Sheffield,S2 1GN,53.3643186,-1.43454697,Live
2000270091,Alight Media,D48,"Plot 1, Crow Road",Glasgow North,G13 1NU,55.88379398,-4.32565424,Live
2000270092,Alight Media,D48,39a London Road,Gloucester,GL1 3HF,51.86781073,-2.23778428,Live
2000286454,Alight Media,D48,677a Green Lanes,Wood Green,N8 0QY,51.58678386,-0.10115058,Live
2000286455,Alight Media,D48,257-259 High Street East,Wallsend,NE28 7RT,54.9923563,-1.52561187,Live
2000286456,Alight Media,D48,Royal Oak Horninglow Rd North,Burton Upon Trent,DE13 0SF,52.81965608,-1.64024883,Live
2000286457,Alight Media,D48,5 Grammar School Lane,Halesowen,B63 3SW,52.45194077,-2.05256346,Live
2000286458,Alight Media,D48,"437 Chorley Road, Swinton",Swinton Pendlebury,M27 9LQ,53.5164752,-2.35012216,Live
2000286459,Alight Media,D48,Units 1 and 2 Paget Street,Burton Upon Trent,DE14 3TQ,52.79993672,-1.6407689,Live
